term,frequency
worst quality,1066
watermark,975
bad anatomy,856
signature,790
low quality,775
text,658
lowres,582
blurry,550
bad hands,483
ugly,467
deformed,460
jpeg artifacts,414
censored,382
bad quality,379
3d,374
extra fingers,295
sketch,281
score 4,270
cropped,262
score 5,260
artist name,260
missing fingers,257
monochrome,241
logo,235
disfigured,229
simple background,220
score 6,219
error,216
username,197
normal quality,187
extra limbs,180
poorly drawn face,179
low res,176
fewer digits,173
poorly drawn,170
old,162
worst detail,161
extra digit,159
bad proportions,158
anime,156
easynegative,155
poorly drawn hands,150
child,148
mutated,147
low quality:1.4,144
mutation,136
cartoon,136
realistic,135
mutated hands,135
long neck,133
duplicate,123
painting,122
extra arms,121
out of frame,120
grainy,119
nsfw,118
low resolution,114
loli,113
fused fingers,112
censor,111
deformed fingers,105
too many fingers,103
multiple views,100
distorted,100
patreon username,99
blur,96
glitch,93
furry,91
extra legs,91
render,91
patreon logo,90
black and white,87
nude,85
muscular,85
ugly face,82
bad,82
extra digits,81
greyscale,81
missing limb,80
extra limb,75
out of focus,75
illustration,73
bad eyes,73
comic,71
drawing,71
human,71
pixelated,71
worst quality:1.4,69
missing legs,68
fat,67
long body,66
overexposed,65
missing arms,65
deformed hands,64
blurry face,64
mutilated,63
cgi,61
abstract,60
messy,60
nipples,57
extra hands,56
grayscale,55
bad hands 5,54
noisy,54
displeasing,54
cross eyed,53
unrealistic,53
words,53
oldest,53
pubic hair,53
low quality:1.2,52
bad feet,51
doll,50
trademark,50
early,50
lazyneg,49
manga,49
floating limbs,48
aliasing,48
ng deepnegative v1 75t,48
draft,47
missing limbs,46
masterpiece,46
poorly drawn feet,46
anatomical nonsense,45
interlocked fingers,45
worst aesthetic,45
young,45
high quality,44
highres,44
frame,44
low contrast,44
close up,44
morbid,44
plastic,43
normal quality:2,43
scan artifacts,43
badhandv4,43
twitter username,43
pony,42
disconnected limbs,42
disgusting,41
solo,39
topless,39
malformed limbs,39
chibi,39
yuri,39
score 3,39
lowres:1.2,38
breasts,38
girl,38
watermarks,37
photo,37
cut off,37
kid,37
bad quality:1.2,37
bar censor,37
semi realistic,37
cloned face,37
unfinished,37
gross proportions,37
cleavage,36
absurdres,36
kitsch,36
very displeasing,36
bad body,36
mutated hands and fingers,36
bad hand,35
realism,35
off center,35
bad fingers,35
low detail,35
blurred,35
bad composition,35
beginner,35
bad anatomy:1.4,35
web address,35
deformed face,35
negativexl d,35
english text,35
asian,34
source pony,34
naked,34
compression artifacts,34
fake,34
1girl,34
bad photo,34
letters,34
depth of field,33
source furry,33
malformed hands,33
distortion,33
malformed,33
wrinkles,32
two heads,32
fewer fingers,32
lazyhand,32
